City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
154,Hobart,AU,-42.8794,147.3294,55.26,58,75,4.0,light rain
155,Puerto Ayacucho,VE,5.6639,-67.6236,73.02,93,79,4.85,broken clouds
156,Krasnyy Yar,RU,46.5331,48.3456,69.73,44,10,3.18,clear sky
157,Pacific Grove,US,36.6177,-121.9166,71.46,79,34,4.0,scattered clouds
158,Broken Hill,AU,-31.95,141.4333,60.51,44,0,17.27,clear sky
159,Abonnema,NG,4.7084,6.7931,74.28,89,69,4.25,broken clouds
160,Hovd,MN,48.0056,91.6419,63.79,44,7,2.57,clear sky
161,Ugoofaaru,MV,5.6667,73.0,82.72,74,94,11.1,overcast clouds
162,Gushikawa,JP,26.3544,127.8686,87.39,74,75,13.8,broken clouds
163,Sarkand,KZ,45.41,79.9186,83.37,16,0,6.31,clear sky
164,Bethel,US,41.3712,-73.414,68.81,92,76,2.93,broken clouds
165,Longyearbyen,SJ,78.2186,15.6401,46.24,71,40,12.66,scattered clouds
166,Tuy Hoa,VN,13.0833,109.3,93.15,49,98,16.67,overcast clouds
167,Sabha,LY,27.0377,14.4283,83.59,13,1,9.51,clear sky
168,Saskylakh,RU,71.9167,114.0833,80.51,34,7,8.88,clear sky
169,Miri,MY,4.4148,114.0089,75.34,94,40,6.91,scattered clouds
170,Sorong,ID,-0.8833,131.25,87.26,65,67,9.6,broken clouds
171,Arbuzynka,UA,47.9097,31.3196,69.12,87,14,7.23,few clouds
172,Carnarvon,AU,-24.8667,113.6333,60.87,43,0,19.57,clear sky
173,Abapo,BO,-18.8333,-63.4667,56.1,38,97,2.51,overcast clouds
174,Cayenne,GF,4.9333,-52.3333,74.08,89,75,9.22,mist
175,Providencia,MX,28.7167,-111.5833,95.85,71,1,1.99,clear sky
176,Hay River,CA,60.8156,-115.7999,71.37,48,0,8.21,clear sky
177,Jian,CN,27.1172,114.9793,94.05,54,0,7.99,light rain
